"supplier_id","name","phone"
20001,哇绲医药有限公司,"13845205344"
20002,唤忘脯同媵医药有限公司,"13738194896"
20003,滟褪谢医药有限公司,"15675856879"
20004,暴垒抱艳域减医药有限公司,"15768951417"
20005,新砼医药有限公司,"15133029398"
20006,每钾哑撞想攴医药有限公司,"15127821570"
20007,归霄庸珀囔医药有限公司,"18790413491"
20008,铹洗峙炼医药有限公司,"15263076174"
20009,午扭沭薤医药有限公司,"18862326264"
20010,薤琏医药有限公司,"13456796529"
20011,甩衩烁馏丕医药有限公司,"15046544162"
20012,隳冈医药有限公司,"13680727675"
20013,舐蝶潭蓊蛆骧医药有限公司,"13929883014"
20014,峨橼诫犬拥医药有限公司,"15095081009"
20015,妙恧喙懑锤医药有限公司,"15815419161"
20016,话痄没镤医药有限公司,"15760145444"
20017,疟蕈罟医药有限公司,"13578913172"
20018,秋崃育渭件医药有限公司,"15815234100"
20019,推罪医药有限公司,"15573856547"
20020,去铳残医药有限公司,"13246510810"
